Model,DPO2024
Firmware Version,1.25

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-05,
Sample Interval,2e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,50,
Label,,
TIME,CH1,CH1 Peak Detect
-9.73740e-05,-9,-7
-9.73720e-05,-9,-9
-9.73700e-05,-7,-7
-9.73680e-05,-9,-9
-9.73660e-05,-9,-7
-9.73640e-05,-7,-9
-9.73620e-05,-9,-7
-9.73600e-05,-9,-9
-9.73580e-05,-9,-9
-9.73560e-05,-9,-9
-9.73540e-05,-9,-9
-9.73520e-05,-9,-9
-9.73500e-05,-9,-9
-9.73480e-05,-9,-9
-9.73460e-05,-9,-7
-9.73440e-05,-9,-9
-9.73420e-05,-9,-9
-9.73400e-05,-9,-9
-9.73380e-05,-9,-9
-9.73360e-05,-9,-9
-9.73340e-05,-9,-7
-9.73320e-05,-9,-9
-9.73300e-05,-9,-7
-9.73280e-05,-9,-9
-9.73260e-05,-9,-7
-9.73240e-05,-9,-9
-9.73220e-05,-9,-9
-9.73200e-05,-9,-9
-9.73180e-05,-9,-7
-9.73160e-05,-9,-9
-9.73140e-05,-9,-7
-9.73120e-05,-9,-9
-9.73100e-05,-9,-7
-9.73080e-05,-9,-9
-9.73060e-05,-9,-9
-9.73040e-05,-9,-9
-9.73020e-05,-9,-7
-9.73000e-05,-9,-9
-9.72980e-05,-9,-7
-9.72960e-05,-9,-9
-9.72940e-05,-9,-7
-9.72920e-05,-9,-9
-9.72900e-05,-9,-7
-9.72880e-05,-9,-9
-9.72860e-05,-9,-9
-9.72840e-05,-9,-9
-9.72820e-05,-9,-7
-9.72800e-05,-9,-9
-9.72780e-05,-7,-7
-9.72760e-05,-7,-9
-9.72740e-05,-9,-7
-9.72720e-05,-9,-9
-9.72700e-05,-9,-7
-9.72680e-05,-9,-9
-9.72660e-05,-9,-7
-9.72640e-05,-9,-9
-9.72620e-05,-9,-7
-9.72600e-05,-9,-9
-9.72580e-05,-9,-9
-9.72560e-05,-9,-9
-9.72540e-05,-9,-9
-9.72520e-05,-9,-9
-9.72500e-05,-9,-7
-9.72480e-05,-7,-9
-9.72460e-05,-9,-7
-9.72440e-05,-7,-9
-9.72420e-05,-9,-7
-9.72400e-05,-9,-9
-9.72380e-05,-9,-7
-9.72360e-05,-9,-9
-9.72340e-05,-9,-9
-9.72320e-05,-9,-9
-9.72300e-05,-9,-7
-9.72280e-05,-9,-9
-9.72260e-05,-9,-7
-9.72240e-05,-9,-9
-9.72220e-05,-9,-7
-9.72200e-05,-9,-9
-9.72180e-05,-7,-7
-9.72160e-05,-9,-9
-9.72140e-05,-7,-7
-9.72120e-05,-7,-9
-9.72100e-05,-9,-7
-9.72080e-05,-9,-9
-9.72060e-05,-9,-9
-9.72040e-05,-9,-9
-9.72020e-05,-7,-7
-9.72000e-05,-9,-9
-9.71980e-05,-9,-7
-9.71960e-05,-9,-9
-9.71940e-05,-9,-7
-9.71920e-05,-9,-9
-9.71900e-05,-9,-7
-9.71880e-05,-9,-9
-9.71860e-05,-9,-7
-9.71840e-05,-9,-9
-9.71820e-05,-9,-7
-9.71800e-05,-9,-9
-9.71780e-05,-9,-9
-9.71760e-05,-9,-9
-9.71740e-05,-9,-7
-9.71720e-05,-9,-9
-9.71700e-05,-9,-9
-9.71680e-05,-9,-9
-9.71660e-05,-9,-9
-9.71640e-05,-9,-9
-9.71620e-05,-9,-9
-9.71600e-05,-9,-9
-9.71580e-05,-9,-9
-9.71560e-05,-7,-9
-9.71540e-05,-9,-7
-9.71520e-05,-9,-9
-9.71500e-05,-9,-9
-9.71480e-05,-9,-9
-9.71460e-05,-7,-7
-9.71440e-05,-7,-7
-9.71420e-05,-7,-7
-9.71400e-05,-9,-9
-9.71380e-05,-9,-7
-9.71360e-05,-9,-9
-9.71340e-05,-9,-7
-9.71320e-05,-9,-9
-9.71300e-05,-7,-7
-9.71280e-05,-9,-9
-9.71260e-05,-9,-7
-9.71240e-05,-9,-9
-9.71220e-05,-9,-9
-9.71200e-05,-9,-9
-9.71180e-05,-9,-9
-9.71160e-05,-9,-9
-9.71140e-05,-9,-7
-9.71120e-05,-7,-9
-9.71100e-05,-9,-7
-9.71080e-05,-9,-9
-9.71060e-05,-9,-7
-9.71040e-05,-9,-9
-9.71020e-05,-9,-7
-9.71000e-05,-9,-9
-9.70980e-05,-9,-7
-9.70960e-05,-9,-9
-9.70940e-05,-9,-7
-9.70920e-05,-7,-9
-9.70900e-05,-9,-7
-9.70880e-05,-9,-9
-9.70860e-05,-9,-7
-9.70840e-05,-9,-9
-9.70820e-05,-9,-7
-9.70800e-05,-9,-9
-9.70780e-05,-7,-7
-9.70760e-05,-9,-9
-9.70740e-05,-9,-7
-9.70720e-05,-9,-9
-9.70700e-05,-9,-7
-9.70680e-05,-9,-9
-9.70660e-05,-9,-9
-9.70640e-05,-9,-9
-9.70620e-05,-9,-7
-9.70600e-05,-9,-9
-9.70580e-05,-9,-7
-9.70560e-05,-9,-9
-9.70540e-05,-9,-9
-9.70520e-05,-9,-9
-9.70500e-05,-9,-9
-9.70480e-05,-9,-9
-9.70460e-05,-9,-9
-9.70440e-05,-9,-9
-9.70420e-05,-9,-9
-9.70400e-05,-9,-9
-9.70380e-05,-9,-7
-9.70360e-05,-9,-9
-9.70340e-05,-9,-7
-9.70320e-05,-9,-9
-9.70300e-05,-9,-9
-9.70280e-05,-9,-9
-9.70260e-05,-9,-7
-9.70240e-05,-9,-9
-9.70220e-05,-9,-7
-9.70200e-05,-9,-9
-9.70180e-05,-7,-7
-9.70160e-05,-9,-9
-9.70140e-05,-9,-7
-9.70120e-05,-9,-9
-9.70100e-05,-9,-7
-9.70080e-05,-9,-9
-9.70060e-05,-9,-7
-9.70040e-05,-9,-9
-9.70020e-05,-9,-7
-9.70000e-05,-9,-9
-9.69980e-05,-9,-7
-9.69960e-05,-9,-9
